generating_institute     gfz-potsdam
     generating_date     2015/10/23
        product_type     gravity_field
                body     earth
           modelname     eigen-6c4
     max_used_degree          2190
         tide_system     tide_free
          functional     gravity_earth  (centrifugal term included)
                unit     mgal
          refsysname     WGS84
            gmrefpot      3.98600441800E+14 m**3/s**2
        radiusrefpot     6378137.000 m
          flatrefpot      3.352810664747480E-03   (1/298.25722356300)
         omegarefpot      7.29211500000E-05 1/s
    normal_potential      6.263685171456948E+07 m**2/s**2
       long_lat_unit     degree
      latlimit_north      -6.0000000000000    
      latlimit_south      -20.000000000000    
      longlimit_west       319.00000000000    
      longlimit_east       329.00000000000    
            gridstep      0.10000000000000    
  latitude_parallels           141
 longitude_parallels           101
number_of_gridpoints         14241
            gapvalue        9999999.0000
       weighted_mean      9.7827218E+05 mgal
            maxvalue      9.7879470E+05 mgal
            minvalue      9.7784516E+05 mgal
         signal_wrms      1.9344986E+02 mgal
         grid_format     long_lat_height_value
 
          longitude    latitude  h_over_geoid  gravity_earth
            [deg.]      [deg.]     [meter]         [mgal]
end_of_head ======================================================
           319.2000     -6.4000     794.00   977885.186209077016
           319.3000     -6.4000     492.00   977953.316199115710
           319.4000     -6.4000     492.00   977955.759469173499
           319.5000     -6.4000     446.00   977965.220481063239
           319.6000     -6.4000     395.00   977981.046867155121
           319.7000     -6.4000     385.00   977982.244145446224
           319.8000     -6.4000     376.00   977989.431538880337
           319.9000     -6.4000     350.00   977991.330972842639
           320.0000     -6.4000     368.00   977984.551388000720
           320.1000     -6.4000     381.00   977981.653568451875
           320.2000     -6.4000     500.00   977952.138431549887
           320.3000     -6.4000     444.00   977963.083330755238
           320.4000     -6.4000     303.00   977992.924578829785
           320.5000     -6.4000     292.00   977993.111655156477
           320.6000     -6.4000     234.00   977999.334347668686
           320.7000     -6.4000     217.00   977999.916569128283
           320.8000     -6.4000     223.00   978002.626499786973
           320.9000     -6.4000     263.00   977991.161451188382
           321.0000     -6.4000     183.00   978020.868648239993
           321.1000     -6.4000     166.00   978029.345176508417
           321.2000     -6.4000     182.00   978025.501223543310
           321.3000     -6.4000     379.00   977985.262362026842
           321.4000     -6.4000     745.00   977913.769041614258
           321.5000     -6.4000     457.00   977991.246705371654
           321.6000     -6.4000     598.00   977948.413449615706
           321.7000     -6.4000     305.00   978018.745322504779
           321.8000     -6.4000     342.00   978008.631955165998
           321.9000     -6.4000     330.00   978015.028151878039
           322.0000     -6.4000     321.00   978016.361452532699
           322.1000     -6.4000     405.00   977989.029487801832
           322.2000     -6.4000     296.00   978010.087182589225
           322.3000     -6.4000     248.00   978014.435636568698
           322.4000     -6.4000     243.00   978013.914863660699
           322.5000     -6.4000     196.00   978031.078375678277
           322.6000     -6.4000     156.00   978042.616024087532
           322.7000     -6.4000     174.00   978040.775170318666
           322.8000     -6.4000     149.00   978050.120315656066
           322.9000     -6.4000     166.00   978050.194488087553
           323.0000     -6.4000     252.00   978035.904612031416
           323.1000     -6.4000     253.00   978040.304045399535
           323.2000     -6.4000     226.00   978042.593254731852
           323.3000     -6.4000     294.00   978029.169695537305
           323.4000     -6.4000     394.00   978009.057636120240
           323.5000     -6.4000     511.00   977976.104372514994
           323.6000     -6.4000     398.00   978007.477051349939
           323.7000     -6.4000     629.00   977952.198883097037
           323.8000     -6.4000     643.00   977952.626938514994
           323.9000     -6.4000     326.00   978027.077215732425
           324.0000     -6.4000     298.00   978023.256019538851
           324.1000     -6.4000     234.00   978044.649185867980
           324.2000     -6.4000     259.00   978043.976955694379
           324.3000     -6.4000     311.00   978033.236360254465
           324.4000     -6.4000     161.00   978066.243667071103
           324.5000     -6.4000     111.00   978082.400359230116
           324.6000     -6.4000      85.00   978094.746770688100
           324.7000     -6.4000     151.00   978081.215992513229
           324.8000     -6.4000      65.00   978099.461813432164
           324.9000     -6.4000      10.00   978105.117447858560
           325.0000     -6.4000      49.00   978104.189659199561
           325.1000     -6.4000       0.00   978136.151376452646
           325.2000     -6.4000       0.00   978172.147555356729
           325.3000     -6.4000       0.00   978132.812288326328
           325.4000     -6.4000       0.00   978086.905049962108
           325.5000     -6.4000       0.00   978068.900333519210
           325.6000     -6.4000       0.00   978081.764200407779
           325.7000     -6.4000       0.00   978105.755035453360
           325.8000     -6.4000       0.00   978148.997897019959
           325.9000     -6.4000       0.00   978134.126359376474
           326.0000     -6.4000       0.00   978101.001520362683
           326.1000     -6.4000       0.00   978065.008086271468
           326.2000     -6.4000       0.00   978053.152586704935
           326.3000     -6.4000       0.00   978064.267175418092
           326.4000     -6.4000       0.00   978067.128838251461
           326.5000     -6.4000       0.00   978072.441197872395
           326.6000     -6.4000       0.00   978078.837047826266
           326.7000     -6.4000       0.00   978087.203421772225
           326.8000     -6.4000       0.00   978087.681109586149
           326.9000     -6.4000       0.00   978089.810426022392
           327.0000     -6.4000       0.00   978089.512995555182
           327.1000     -6.4000       0.00   978091.980103746988
           327.2000     -6.4000       0.00   978094.217894517118
           327.3000     -6.4000       0.00   978087.827251744224
