generating_institute     gfz-potsdam
     generating_date     2015/10/23
        product_type     gravity_field
                body     earth
           modelname     eigen-6c4
     max_used_degree          2190
         tide_system     tide_free
          functional     gravity_disturbance
    zero_degree_term     included
                unit     mgal
          refsysname     WGS84
            gmrefpot      3.98600441800E+14 m**3/s**2
        radiusrefpot     6378137.000 m
          flatrefpot      3.352810664747480E-03   (1/298.25722356300)
         omegarefpot      7.29211500000E-05 1/s
    normal_potential      6.263685171456948E+07 m**2/s**2
       long_lat_unit     degree
      latlimit_north      -6.0000000000000    
      latlimit_south      -20.000000000000    
      longlimit_west       319.00000000000    
      longlimit_east       329.00000000000    
            gridstep      0.10000000000000    
  latitude_parallels           141
 longitude_parallels           101
number_of_gridpoints         14241
            gapvalue           9999.0000
       weighted_mean     -6.3902939E+00 mgal
            maxvalue      2.7325794E+02 mgal
            minvalue     -1.2119740E+02 mgal
         signal_wrms      2.8036039E+01 mgal
         grid_format     long_lat_height_value
 
          longitude    latitude  h_over_geoid  gravity_disturbance
            [deg.]      [deg.]     [meter]         [mgal]
end_of_head ======================================================
           323.8000     -6.2000     528.00       49.039441407039
           323.9000     -6.2000     343.00       27.647950142651
           324.0000     -6.2000     254.00       24.235818753660
           324.1000     -6.2000     249.00       24.435399586586
           324.2000     -6.2000     170.00       27.497128147758
           324.3000     -6.2000     162.00       29.493773784139
           324.4000     -6.2000     127.00       30.393016312402
           324.5000     -6.2000     105.00       32.829223157549
           324.6000     -6.2000     110.00       39.022600188332
           324.7000     -6.2000     129.00       36.823798571994
           324.8000     -6.2000      76.00       20.040266446131
           324.9000     -6.2000      23.00       20.968488431627
           325.0000     -6.2000       0.00       38.950861813625
           325.1000     -6.2000       0.00       80.461715852742
           325.2000     -6.2000       0.00       41.271563047651
           325.3000     -6.2000       0.00       -5.723976463301
           325.4000     -6.2000       0.00      -26.838580726896
           325.5000     -6.2000       0.00      -33.579624366631
           325.6000     -6.2000       0.00      -32.280958107478
           325.7000     -6.2000       0.00      -15.698255623420
           325.8000     -6.2000       0.00      -29.435230856301
           325.9000     -6.2000       0.00      -42.726039960783
           326.0000     -6.2000       0.00      -42.223472334157
           326.1000     -6.2000       0.00      -33.783521515396
           326.2000     -6.2000       0.00      -24.904988335983
           326.3000     -6.2000       0.00      -16.721977963918
           326.4000     -6.2000       0.00      -10.923859938394
           326.5000     -6.2000       0.00       -8.617076030504
           326.6000     -6.2000       0.00       -6.849014790333
           326.7000     -6.2000       0.00       -7.024314891524
           326.8000     -6.2000       0.00       -4.388527813326
           326.9000     -6.2000       0.00       -2.406117095965
           327.0000     -6.2000       0.00        0.065323133214
           327.1000     -6.2000       0.00       -0.461039888222
           327.2000     -6.2000       0.00       -2.183964852875
           327.3000     -6.2000       0.00       -1.811210113978
           327.4000     -6.2000       0.00       -4.771492497824
           327.5000     -6.2000       0.00       -2.904538990656
           327.6000     -6.2000       0.00       -1.743293015721
           327.7000     -6.2000       0.00       -6.414768004426
           327.8000     -6.2000       0.00       -5.383207807519
           327.9000     -6.2000       0.00       -6.823807760981
           328.0000     -6.2000       0.00       -5.858251128643
           328.1000     -6.2000       0.00       -5.093363121311
           328.2000     -6.2000       0.00       -8.880802954891
           328.3000     -6.2000       0.00      -11.089471484027
           328.4000     -6.2000       0.00      -12.895638237609
           328.5000     -6.2000       0.00      -13.352307160908
           328.6000     -6.2000       0.00      -15.610605814587
           328.7000     -6.2000       0.00      -13.021556713078
           328.8000     -6.2000       0.00      -10.168168122959
           328.9000     -6.2000       0.00      -11.430024253123
           329.0000     -6.2000       0.00      -10.549361238965
           319.0000     -6.3000     574.00       12.684238267902
           319.1000     -6.3000     785.00       29.995050587317
           319.2000     -6.3000     824.00       29.999794145574
           319.3000     -6.3000     531.00        7.696374625077
           319.4000     -6.3000     500.00       12.158097243109
           319.5000     -6.3000     482.00       12.922724391373
           319.6000     -6.3000     478.00        9.870558087322
           319.7000     -6.3000     404.00        7.294446347927
           319.8000     -6.3000     364.00        7.193369483716
           319.9000     -6.3000     428.00        8.426988414811
           320.0000     -6.3000     405.00        6.868979481389
           320.1000     -6.3000     457.00        8.354044839365
           320.2000     -6.3000     413.00        0.183167344758
           320.3000     -6.3000     403.00        4.526475712296
           320.4000     -6.3000     347.00       -5.782944520583
           320.5000     -6.3000     276.00      -15.853800357313
